"n°UAI de l'établissement";"Libellé de l'établissement";"Région";"Dont apprentis en EPLE";;"Taux";"Taux attendu";"Valeur ajoutée";
"0030026M";"Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";54;42;42;1;45
"0030026M";"Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0030038A";"Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers";"AUVERGNE-RHONE-ALPES";"ensemble";51;44;42;3;51
"0030038A";"Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";52;43;40;3;49
"0030038A";"Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers";"AUVERGNE-RHONE-ALPES";"dont apprentis";26;;;;
"0030051P";"Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations";"AUVERGNE-RHONE-ALPES";"ensemble";48;47;53;-6;61
"0030051P";"Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";49;48;53;-5;62
"0030051P";"Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0030061A";"Lycée professionnel Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations";"AUVERGNE-RHONE-ALPES";"ensemble";57;31;31;0;43
"0030105Y";"Lycée professionnel privé Sainte-Louise";"AUVERGNE-RHONE-ALPES";"ensemble";67;;;;
"0030112F";"Lycée professionnel privé Anna Rodier";"AUVERGNE-RHONE-ALPES";"ensemble";44;23;32;-9;35
"0030905T";"Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles";"AUVERGNE-RHONE-ALPES";"ensemble";34;57;58;-1;69
"0030905T";"Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";41;42;45;-3;55
"0030905T";"Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles";"AUVERGNE-RHONE-ALPES";"dont apprentis";24;75;73;2;86
"0030924N";"Lycée professionnel Val d'Allier";"AUVERGNE-RHONE-ALPES";"ensemble";45;12;24;-12;28
"0030935A";"Lycée Privé d'Enseignement Supérieur de Vichy";"AUVERGNE-RHONE-ALPES";"ensemble";33;60;55;5;70
"0031041R";"Lycée technologique privé Anna Rodier";"AUVERGNE-RHONE-ALPES";"ensemble";44;;;;
"0031043T";"Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile";"AUVERGNE-RHONE-ALPES";"ensemble";55;55;44;11;61
"0031043T";"Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";57;49;39;11;56
"0031043T";"Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0031044U";"Lycée polyvalent Geneviève Vincent";"AUVERGNE-RHONE-ALPES";"ensemble";32;23;26;-4;34
"0031044U";"Lycée polyvalent Geneviève Vincent";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";32;22;26;-4;34
"0031044U";"Lycée polyvalent Geneviève Vincent";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0031082K";"Lycée polyvalent Valéry Larbaud";"AUVERGNE-RHONE-ALPES";"ensemble";42;52;45;7;60
"0031082K";"Lycée polyvalent Valéry Larbaud";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";44;49;42;7;56
"0031082K";"Lycée polyvalent Valéry Larbaud";"AUVERGNE-RHONE-ALPES";"dont apprentis";20;85;75;10;94
"0040003G";"Lycée général André Honnorat";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";62;;;;
"0040007L";"Lycée professionnel lycée des métiers Beau de Rochas";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";54;29;26;3;38
"0040010P";"Lycée général et technologique Félix Esclangon";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";33;57;53;4;69
"0040011R";"Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";52;35;31;4;55
"0040023D";"Lycée polyvalent Paul Arène - lycée des métiers de l'hotellerie et de la restauration des Alpes provençales";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";48;45;41;4;72
"0040027H";"Lycée général et technologique Alexandra David Neel";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";54;;;;
"0040378P";"Etablissement régional d'enseignement adapté de Haute-Provence";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";36;;;;
"0040490L";"Lycée général et technologique Pierre-Gilles de Gennes";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";42;59;47;12;56
"0040533H";"Lycée Polyvalent Les Iscles";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";43;43;45;-2;57
"0050003B";"Lycée polyvalent  d'Altitude";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";49;35;37;-2;60
"0050004C";"Lycée climatique Honoré Romane";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";27;56;49;6;64
"0050005D";"Lycée professionnel Alpes et Durance - Lycée des Métiers pluri-actifs du bois et de l'habitat de montagne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";56;27;39;-12;48
"0050006E";"Lycée général et technologique Dominique Villars";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;56;52;4;61
"0050007F";"Lycée général et technologique Aristide Briand";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";45;64;55;9;73
"0050008G";"Lycée professionnel Paul Héraud";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";41;50;42;8;64
"0050009H";"Lycée professionnel Sévigné - Lycée des métiers de la restauration, des services aux entreprises et aux personnes";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";55;30;29;1;40
"0050027C";"Lycée professionnel Pierre Mendès France";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";59;29;29;0;48
"0050039R";"Lycée professionnel privé Pierre et Louis Poutrain";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";73;23;35;-12;46
"0060001U";"Lycée général et technologique Jacques Audiberti";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";37;53;55;-2;61
"0060001U";"Lycée général et technologique Jacques Audiberti";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";37;52;54;-2;60
"0060001U";"Lycée général et technologique Jacques Audiberti";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0060002V";"Lycée professionnel Jacques Dolle";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";42;37;32;4;48
"0060009C";"Lycée général et technologique Auguste Renoir";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";24;60;53;6;72
"0060011E";"Lycée général Carnot";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";65;37;38;-1;44
"0060013G";"Lycée général et technologique Bristol";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";46;44;53;-9;56
"0060014H";"Lycée général et technologique Jules Ferry";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";43;53;50;3;59
"0060015J";"Lycée professionnel Les Coteaux - Lycée des métiers de la relation client, de la mode et du costume de spectacle";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";46;28;31;-3;42
"0060020P";"Lycée général et technologique Amiral de Grasse";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";30;57;51;6;67
"0060022S";"Lycée professionnel Léon Chiris";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";42;39;40;0;50
"0060022S";"Lycée professionnel Léon Chiris";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";44;39;37;2;48
"0060022S";"Lycée professionnel Léon Chiris";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0060023T";"Lycée professionnel Francis de Croisset";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";43;36;31;4;47
"0060026W";"Lycée général et technologique Pierre et Marie Curie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";;;;;
"0060027X";"Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";41;19;31;-11;27
"0060027X";"Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";41;20;31;-11;28
"0060027X";"Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0060028Y";"Lycée professionnel Paul Valéry - Lycée des métiers de la restauration";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";39;21;32;-11;34
"0060028Y";"Lycée professionnel Paul Valéry - Lycée des métiers de la restauration";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";39;21;32;-11;34
"0060028Y";"Lycée professionnel Paul Valéry - Lycée des métiers de la restauration";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0060029Z";"Lycée général et technologique Parc Imperial";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";45;56;54;1;58
"0060029Z";"Lycée général et technologique Parc Imperial";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";47;53;51;2;57
"0060029Z";"Lycée général et technologique Parc Imperial";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";25;;;;
"0060031B";"Lycée général et technologique Albert Calmette";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";29;47;54;-7;47
"0060033D";"Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";47;49;48;1;52
"0060033D";"Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";49;50;46;3;52
"0060033D";"Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";35;44;56;-11;49
"0060034E";"Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";34;45;47;-3;63
"0060034E";"Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";39;45;48;-3;60
"0060034E";"Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";14;46;47;-1;68
"0060038J";"Lycée professionnel Vauban";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";39;32;36;-4;39
"0060038J";"Lycée professionnel Vauban";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";42;26;31;-5;37
"0060038J";"Lycée professionnel Vauban";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";29;49;50;-1;43
"0060040L";"Lycée professionnel Pasteur";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";55;20;29;-9;27
"0060042N";"Lycée professionnel Les Palmiers";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";40;29;30;-1;38
"0060042N";"Lycée professionnel Les Palmiers";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";41;29;30;-1;38
"0060042N";"Lycée professionnel Les Palmiers";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0060043P";"Lycée professionnel Magnan - Lycée des métiers des soins et services à la personne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";49;29;30;-1;37
"0060075Z";"Lycée général et technologique Les Eucalyptus";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";40;50;51;-1;66
"0060082G";"Lycée professionnel Les Eucalyptus                 Lycée des sciences appliquées aux métiers de l'Industrie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;52;40;12;57
"0060670W";"Lycée général et technologique privé Sainte Marie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";25;22;34;-12;48
"0060673Z";"Lycée général et technologique privé Stanislas";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";34;18;30;-12;55
"0060674A";"Lycée général et technologique privé Fénélon";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";32;;;;
"0060677D";"Lycée général et technologique privé Sasserno";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";37;33;45;-12;47
"0060715V";"Lycée professionnel privé La Providence";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";46;24;27;-3;35
"0060750H";"Lycée polyvalent privé Institution Saint Joseph Carnolés";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";62;;;;
"0060774J";"Lycée polyvalent privé Saint Joseph";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;37;49;-12;30
"0060776L";"Lycée professionnel privé Saint Vincent de Paul - Lycée des métiers du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;41;37;4;41
"0061394H";"Lycée professionnel privé Les Fauvettes";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";41;32;33;0;45
"0061462G";"Lycée professionnel privé Don Bosco - Lycée des métiers de la maintenance industrielle et industrie graphique";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";54;37;36;0;45
"0061478Z";"Lycée polyvalent Léonard de Vinci - Lycée des métiers du bâtiment et travaux publics";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";49;52;49;3;62
"0061478Z";"Lycée polyvalent Léonard de Vinci - Lycée des métiers du bâtiment et travaux publics";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";50;50;47;3;61
"0061478Z";"Lycée polyvalent Léonard de Vinci - Lycée des métiers du bâtiment et travaux publics";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0061561P";"Lycée professionnel Alfred Hutinel - lycée des métiers des énergies électriques";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";40;36;37;-1;46
"0061635V";"Lycée professionnel Auguste Escoffier";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";39;32;31;1;45
"0061691F";"Lycée général et technologique Thierry Maulnier - Lycée des métiers de la chimie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";72;;;;
"0061760F";"Lycée général et technologique Alexis de Tocqueville";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";39;54;49;6;66
"0061763J";"Lycée général et technologique Guillaume Apollinaire";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";24;38;45;-7;42
"0061987C";"Lycée polyvalent de la Montagne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";49;40;37;3;53
"0062089N";"Lycée Général et Technologique René Goscinny";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;45;40;5;50
"0070001N";"Lycée polyvalent public Boissy d'Anglas - Lycée des métiers de la création industrielle";"AUVERGNE-RHONE-ALPES";"ensemble";41;57;53;3;65
"0070001N";"Lycée polyvalent public Boissy d'Anglas - Lycée des métiers de la création industrielle";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";42;51;46;5;61
"0070001N";"Lycée polyvalent public Boissy d'Anglas - Lycée des métiers de la création industrielle";"AUVERGNE-RHONE-ALPES";"dont apprentis";41;67;67;0;72
"0070002P";"Lycée professionnel Joseph et Etienne De Montgolfier";"AUVERGNE-RHONE-ALPES";"ensemble";37;32;31;1;45
"0070002P";"Lycée professionnel Joseph et Etienne De Montgolfier";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";36;31;31;0;44
