"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0133622S";"ASSOCIATION REGIONALE POUR LA FORMATION PAR L APPRENTISSAGE AUX METIERS DU SPORT DU TOURISME ET DE L ANIMATION (A.R.F.A.M.S.T.A)";"PROVENCE-ALPES-COTE D'AZUR";;11;;;;;;
"0133645S";"Ecole de la construction des infrastructures et réseaux APPRENTISSAGE";"PROVENCE-ALPES-COTE D'AZUR";25;35;71;70;1;75;77;82
"0133864E";"CFA FORMATION ADAPTEE";"PROVENCE-ALPES-COTE D'AZUR";47;34;39;35;4;39;35;35
"0133927Y";"CFA BTP ARLES";"PROVENCE-ALPES-COTE D'AZUR";45;39;53;60;-6;60;60;65
"0133929A";"REGIONAL DE L'ACADEMIE D'AIX-MARSEILLE";"PROVENCE-ALPES-COTE D'AZUR";41;24;57;57;0;63;60;65
"0133963M";"regional des metiers de l'environnement et du developpement durable";"PROVENCE-ALPES-COTE D'AZUR";18;23;67;66;1;64;67;67
"0134105S";"centre de formation d'apprentis des métiers du spectacle";"PROVENCE-ALPES-COTE D'AZUR";24;0;60;48;12;31;40;49
"0134179X";"Centre de formation d'apprentis POLYVIA FORMATION MARSEILLE-Provence Alpes-Côtes-d'Azur";"PROVENCE-ALPES-COTE D'AZUR";5;;;;;;;
"0141300M";"Centre de formations des apprentis CIFAC Caen";"NORMANDIE";33;39;63;65;-2;70;70;74
"0141601P";"Centre de formation des apprentis du batîment Jean Hochet Caen";"NORMANDIE";22;45;69;65;4;70;70;76
"0141941J";"centre formation apprentis agricole lgt robillard lieury l'odon";"NORMANDIE";43;27;67;65;1;82;88;90
"0142106N";"Centre de Formation d'Apprentis CFAI Grand Ouest Normandie Caen";"NORMANDIE";23;27;72;74;-2;74;74;80
"0142180U";"centre formation apprentis agricole lpa vire";"NORMANDIE";;34;;;;;;
"0142220M";"centre de formation d'aprentis transport logistique -Aftral Normandie";"NORMANDIE";19;21;65;66;-2;75;70;75
"0142270S";"centre formation apprentis agricole m f r de basse-normandie";"NORMANDIE";;14;;;;;;
"0142368Y";"CFA public de l'enseignement supérieur de Caen Normandie";"NORMANDIE";7;65;79;68;10;79;89;93
"0142390X";"centre de formation d apprentis sport animation tourisme norma";"NORMANDIE";;26;;;;;;
"0142400H";"centre de formation d apprentis don bosco";"NORMANDIE";19;27;;;;;;
"0142418C";"CFA des MFR de Normandie";"NORMANDIE";35;16;61;58;3;70;71;70
"0150605B";"BTP CFA Cantal";"AUVERGNE-RHONE-ALPES";28;38;63;69;-6;73;73;70
"0150640P";"Institut de formation professionnelle et permanente";"AUVERGNE-RHONE-ALPES";42;45;70;62;8;72;73;78
"0150716X";"Centre de formation d'apprentis Agricole et Forestier du Cantal";"AUVERGNE-RHONE-ALPES";;29;;;;;;
"0160756K";"CFA Chambre de metiers et artisanat de la Charente";"NOUVELLE-AQUITAINE";34;39;55;58;-3;61;63;65
"0160757L";"CFA de la Chambre de commerce et d'industrie de la Charente";"NOUVELLE-AQUITAINE";40;32;65;65;1;67;67;73
"0161077J";"centre formation apprentis agricole";"NOUVELLE-AQUITAINE";43;40;65;54;11;68;70;75
"0161212F";"Ctr formation apprentis BTP CFA Charente";"NOUVELLE-AQUITAINE";37;46;72;65;6;76;68;78
"0171183U";"CFA de la Chambre de Métiers et de l'Artisanat de la Charente-Maritime - Centre de formation de Lagord";"NOUVELLE-AQUITAINE";37;33;61;60;1;69;66;71
"0171208W";"Centre de formation d'apprentis Commerce de Saintes";"NOUVELLE-AQUITAINE";35;26;65;63;2;71;72;77
"0171209X";"CFA BTP de la Charente-Maritime";"NOUVELLE-AQUITAINE";27;47;65;65;0;69;69;72
"0171401F";"centre formation apprentis agricole la pichonnerie";"NOUVELLE-AQUITAINE";27;23;64;54;10;68;66;69
"0171438W";"CFA CIPECMA";"NOUVELLE-AQUITAINE";33;18;52;64;-11;66;58;75
"0171465A";"CFA des Compagnons du devoir";"NOUVELLE-AQUITAINE";29;28;79;67;12;78;79;81
"0171591M";"centre de formation d'apprentis de meunerie et des industries céréalières";"NOUVELLE-AQUITAINE";29;31;72;68;4;70;68;74
"0180755Y";"Centre de Formation d'Apprentis du Cher";"CENTRE-VAL DE LOIRE";48;36;61;60;1;67;68;70
"0180847Y";"CFAAD 18";"CENTRE-VAL DE LOIRE";39;24;65;61;4;77;72;71
"0190721F";"CFA 13 VENTS TULLE";"NOUVELLE-AQUITAINE";50;39;57;60;-3;66;65;68
"0190767F";"CFA PREPARATEURS EN PHARMACIE BRIVE LA GAILLARDE";"NOUVELLE-AQUITAINE";14;29;80;83;-3;86;83;80
"0190807Z";"CENTRE DE FORMATION D'APPRENTIS INCLUSIF NOUVELLE AQUITAINRE";"NOUVELLE-AQUITAINE";31;35;;;;;;
"0190809B";"cfa agricole henri queuille";"NOUVELLE-AQUITAINE";;23;;;;;;
"0190810C";"centre formation apprentis agricole cfa de tulle-naves";"NOUVELLE-AQUITAINE";;29;;;;;;
"0190832B";"lycee gen technolo agricole cfa agricole brive objat";"NOUVELLE-AQUITAINE";30;34;54;53;1;62;66;68
"0190847T";"CFAI LIMOUSIN-SITE DE TULLE";"NOUVELLE-AQUITAINE";23;22;73;76;-3;74;81;81
"0190849V";"CFA BATIMENT TULLE";"NOUVELLE-AQUITAINE";33;45;69;69;0;69;66;69
"0195041B";"CFA TP EGLETONS";"NOUVELLE-AQUITAINE";15;16;86;74;12;96;92;94
"0211181V";"c f a de la pharmacie";"BOURGOGNE-FRANCHE-COMTE";21;17;88;82;5;87;81;75
"0211479U";"ECOLE DES METIERS DIJON METROPOLE";"BOURGOGNE-FRANCHE-COMTE";47;35;63;60;3;65;68;71
"0211799S";"cfa quétigny plombières les d olivier de serres";"BOURGOGNE-FRANCHE-COMTE";36;31;54;55;-1;61;59;63
"0211800T";"cfa viticole";"BOURGOGNE-FRANCHE-COMTE";31;27;61;57;4;67;75;71
"0211948D";"AFTRAL CFATL DIJON";"BOURGOGNE-FRANCHE-COMTE";25;21;70;72;-1;76;80;80
"0212000K";"CFA REGIONAL DES COMPAGNONS DU DEVOIR ET DU TOUR DE FRANCE";"BOURGOGNE-FRANCHE-COMTE";33;39;78;66;12;74;79;74
"0212052S";"CFA SAINT BENIGNE";"BOURGOGNE-FRANCHE-COMTE";31;15;76;74;2;81;79;81
"0212057X";"cfa a des mfr de bourgogne";"BOURGOGNE-FRANCHE-COMTE";34;18;63;68;-4;68;69;72
"0212096P";"CFA DES TRAVAUX PUBLICS";"BOURGOGNE-FRANCHE-COMTE";;34;;;;;;
"0212109D";"CFA SAINT JOSEPH";"BOURGOGNE-FRANCHE-COMTE";29;35;;;;;;
"0212114J";"CFA LES ARCADES";"BOURGOGNE-FRANCHE-COMTE";0;0;19;31;-12;19;36;42
"0212115K";"cfa ifria";"BOURGOGNE-FRANCHE-COMTE";13;69;;;;;;
"0212196Y";"ECOLE SUPERIEURE DE LA BANQUE";"BOURGOGNE-FRANCHE-COMTE";6;36;;;;;;
"0212197Z";"CFA SUP BOURGOGNE";"BOURGOGNE-FRANCHE-COMTE";15;47;76;69;7;74;82;76
"0212243Z";"CFA DE L'EDUCATION NATIONALE EN BOURGOGNE";"BOURGOGNE-FRANCHE-COMTE";37;26;63;62;1;65;66;67
"0221072W";"CFA CMA Bretagne - Campus de Ploufragan";"BRETAGNE";39;38;66;65;1;72;70;75
"0221588G";"CFA Bâtiment 22";"BRETAGNE";33;48;66;67;-1;71;70;75
"0221804S";"CFA DE CAULNES";"BRETAGNE";;12;;;;;;
"0221835A";"CFA Pôle Formation des Industries";"BRETAGNE";23;28;75;76;0;78;77;78
"0221880Z";"CFA DE MERDRIGNAC";"BRETAGNE";25;30;73;61;12;78;70;77
"0221943T";"CFA de l'Association régionale pour la formation par apprentissage aux métiers du secteur sanitaire, social et médico-social";"BRETAGNE";9;3;53;48;5;52;54;52
"0230412Y";"CFA CHAMBRE COMMERCE INDUS CREUSE";"NOUVELLE-AQUITAINE";26;49;;;;;;
"0230553B";"centre formation apprentis agricole cfa de la creuse";"NOUVELLE-AQUITAINE";28;29;48;57;-8;51;51;51
"0240038L";"Centre de formation d'apprentis du Grand Bergeracois Métiers traditionnels et santé";"NOUVELLE-AQUITAINE";43;36;41;53;-12;61;51;61
"0240051A";"Centre de formation d'apprentis du bâtiment et des travaux publics de la Dordogne";"NOUVELLE-AQUITAINE";24;38;66;63;3;71;72;75
"0240061L";"Centre de formations d'apprentis de la chambre des métiers de la Dordogne";"NOUVELLE-AQUITAINE";27;45;60;60;-1;68;68;70
"0241056T";"Centre de formation d'apprentis Ecole de commerce de la CCI de la Dordogne-";"NOUVELLE-AQUITAINE";50;29;53;57;-4;60;56;64
"0241099P";"centre formation apprentis agricole de la dordogne";"NOUVELLE-AQUITAINE";45;25;60;56;4;65;66;71
"0241197W";"Centre interprofessionnel de formation des apprentis de PME de Bergerac (CIFA)";"NOUVELLE-AQUITAINE";32;24;68;68;0;70;70;71
"0241235M";"Centre de formation d'apprentis transport, logistique et voyageurs (TLV) de Bergerac";"NOUVELLE-AQUITAINE";44;11;65;62;2;73;68;68
"0241264U";"Centre de formations d'apprentis - Lycées publics des Périgords";"NOUVELLE-AQUITAINE";24;20;69;69;0;75;78;78
"0251124L";"CFA régional de la pharmacie";"BOURGOGNE-FRANCHE-COMTE";32;12;86;83;3;84;85;82
"0251519R";"CFA Hilaire de Chardonnet";"BOURGOGNE-FRANCHE-COMTE";45;39;62;61;1;64;67;67
"0251643A";"centre formation apprentis agricole du doubs";"BOURGOGNE-FRANCHE-COMTE";;20;;;;;;
"0251749R";"CFA du pays de Montbéliard";"BOURGOGNE-FRANCHE-COMTE";42;37;52;54;-1;58;59;60
"0251750S";"CFA de l'Industrie sud de Franche-Comté";"BOURGOGNE-FRANCHE-COMTE";30;36;68;73;-5;72;73;74
"0251780Z";"CFA Académique de Franche-Comté";"BOURGOGNE-FRANCHE-COMTE";21;27;65;69;-4;65;65;66
"0251824X";"CFA des MFR de France-Comté";"BOURGOGNE-FRANCHE-COMTE";;30;;;;;;
"0251829C";"AFTRAL CFA transport et Logistique de Franche-Comté";"BOURGOGNE-FRANCHE-COMTE";20;6;71;74;-4;82;75;86
"0251897B";"Ecole des travaux publics Bourgogne Franche-Comté";"BOURGOGNE-FRANCHE-COMTE";17;42;61;68;-7;75;72;83
"0251933R";"Institut Supérieur d'Apprentissage de Franche-Comté";"BOURGOGNE-FRANCHE-COMTE";31;18;78;70;8;77;77;75
"0251934S";"Centre de formation d'apprentis A.S.P.E.C.T";"BOURGOGNE-FRANCHE-COMTE";29;21;70;66;5;70;71;70
"0251945D";"CFA Industriel nord Franche-Comté";"BOURGOGNE-FRANCHE-COMTE";28;34;64;69;-5;63;67;64
"0251962X";"CFA Sup FC";"BOURGOGNE-FRANCHE-COMTE";;64;;;;;;
"0261035J";"BTP CFA Drôme-Ardèche";"AUVERGNE-RHONE-ALPES";25;39;66;65;1;72;71;75
"0261036K";"CFA CFMDA Site Lucien Ravit";"AUVERGNE-RHONE-ALPES";37;39;63;59;3;67;67;71
"0261253W";"CFA CCID";"AUVERGNE-RHONE-ALPES";36;17;62;61;1;67;70;70
"0271124A";"Centre de formation d'apprentis interconsulaire de l'Eure - AIDAMCIE - CFAIE";"NORMANDIE";36;41;56;57;-1;60;63;67
"0271177H";"Bâtiment CFA Evreux";"NORMANDIE";27;47;66;68;-2;71;73;75
"0271415S";"Centre de formation d'apprentis industriel de l'Eure";"NORMANDIE";17;32;72;75;-3;72;74;82
"0271473E";"Centre de formation d'apprentis agricole de l'Eure";"NORMANDIE";;34;;;;;;
"0271635F";"Centre de formation d'apprentis agricole horticole de l'Eure";"NORMANDIE";33;34;51;46;5;63;66;67
"0271691S";"Centre de formation d'apprentis Ecole supérieure de la CCI Portes de Normandie";"NORMANDIE";34;24;71;68;3;75;70;74
"0271724C";"Centre de promotion sociale en élevage";"NORMANDIE";;22;;;;;;
"0280738A";"Centre de Formation d'Apprentis Interprofessionnel 28";"CENTRE-VAL DE LOIRE";39;43;57;60;-3;65;68;69
"0281041E";"centre formation apprentis agricole cfaad de l eure et loir";"CENTRE-VAL DE LOIRE";41;32;55;60;-5;72;71;71
"0291100N";"CFA Bâtiment 29";"BRETAGNE";32;40;66;67;-2;73;74;77
"0291792R";"IFAC-CCI MBO";"BRETAGNE";34;40;62;65;-2;68;69;75
"0291915Z";"CFA CMA Bretagne - Campus de Quimper";"BRETAGNE";39;36;63;63;0;71;71;76
"0292009B";"CFA DE HANVEC";"BRETAGNE";40;33;42;51;-10;53;59;63
"0292099Z";"CFA DIFCAM Quimper";"BRETAGNE";6;45;41;53;-12;62;59;56
"0292159P";"CFA Institut nautique Concarneau";"BRETAGNE";21;12;37;49;-12;71;34;68
"0292167Y";"INSTITUT SUPERIEUR DE FORMATION FRUITS ET LEGUMES";"BRETAGNE";9;33;80;68;12;90;85;88
"0292194C";"Institut de formation régionale des Industries agro-alimentaires";"BRETAGNE";24;25;81;72;10;89;84;87
"0301435X";"centre formation apprentis agricole ann legta marie durand";"OCCITANIE";30;32;51;56;-6;55;56;61
"0301567R";"Centre de formation d'apprentis des Compagnons du Devoirs et du Tour de France Languedoc-Roussillon";"OCCITANIE";37;35;67;59;8;72;72;71
"0301629H";"Centre de formation d'apprentis de la Chambre de Métiers et de l'Artisanat de la Région Occitanie - CMAR Occitanie";"OCCITANIE";42;34;55;55;1;64;62;71
"0301633M";"centre formation apprentis agricole maisons familiales rurales";"OCCITANIE";35;25;50;50;0;61;56;66
"0301649E";"Centre de formation d'apprentis Emmanuel d'Alzon";"OCCITANIE";40;32;54;60;-6;62;59;65
"0301685U";"Centre de formation d'apprentis de l'Education nationale du Gard";"OCCITANIE";21;27;74;75;-1;81;80;86
"0301690Z";"Section d'apprentissage privée du lycée polyvalent privé de La Salle";"OCCITANIE";20;6;73;62;11;87;87;77
"0301760A";"Section d'apprentissage privée du lycée professionnel Sainte Marie";"OCCITANIE";13;19;58;64;-6;76;68;76
"0301786D";"Centre de formation d'apprentis BTP du Gard";"OCCITANIE";39;37;59;60;-1;66;60;66
"0311341P";"Centre de formation d'apprentis BTP Toulouse";"OCCITANIE";32;32;63;65;-2;64;64;67
"0311348X";"Centre de formation d'apprentis du comminges";"OCCITANIE";;32;;;;;;
"0311357G";"Centre de formation d'apprentis de la phamarcie";"OCCITANIE";28;16;82;79;3;81;82;83
"0311375B";"Centre de formation d'apprentis coiffure esthétique Jasmin";"OCCITANIE";47;27;64;65;-1;67;67;68
"0311716X";"Centre de formation d'apprentis de l'Industrie Midi-Pyrénées";"OCCITANIE";19;30;76;75;1;79;78;76
"0311717Y";"Centre de formation d'apprentis commerce et services";"OCCITANIE";48;24;56;57;-1;60;61;65
"0311729L";"Centre de formation d'apprentis  Ecole supérieure des métiers Chambre des métiers de la Haute-Garonne";"OCCITANIE";37;38;65;63;2;69;70;70
"0312239R";"Centre de formation d'apprentis Compagnons du devoir et du Tour de France";"OCCITANIE";39;27;77;66;11;74;75;73
"0312240S";"Centre de formation apprentis AFTRAL transport et logistique";"OCCITANIE";22;7;71;66;5;74;74;76
"0312330P";"Centre de formation des apprentis agricole Piémont-Pyrénées   EPLA de Saint-Gaudens";"OCCITANIE";39;26;38;50;-12;49;47;52
"0312331R";"Centre de formation des apprentis agricole horticole de la Haute-Garonne                      EPLA de Toulouse Auzeville";"OCCITANIE";27;20;56;57;-1;67;70;71
"0312332S";"Centre de formation d'apprentis Campus IGS";"OCCITANIE";23;16;67;67;-1;72;75;76
"0312424S";"Centre de formation d'apprentis Banque Finance";"OCCITANIE";10;82;;;;;;
"0312504D";"FEDERATION COMPAGNONIQUE  DES METIERS DU BATIMENT";"OCCITANIE";32;31;71;63;8;69;69;68
"0312505E";"INSTITUT DE FORMATION REGIONAL  DES INDUSTRIES ALIMENTAIRES DE  MIDI-PYRENEES (IFRIA MIDI-PYRENEES)";"OCCITANIE";24;39;48;60;-12;56;60;60
"0312561R";"CFA des métiers du sport - CREPS de Toulouse Midi-Pyrénées";"OCCITANIE";;5;;;;;;
"0312606P";"CENTRE DE FORMATION D'APPRENTIS AUX METIERS DU TRAVAIL SOCIAL (IRFCES)";"OCCITANIE";18;7;56;53;3;64;72;72
"0312608S";"Section d'apprentissage privée du lycée professionnel privé AIRBUS Toulouse";"OCCITANIE";1;35;90;78;12;89;88;93
"0312677S";"Centre de formation d'apprentis PROMOTRANS";"OCCITANIE";;;;;;;;
"0312694K";"Centre de formation d'apprentis régional de la propreté (INHNI)";"OCCITANIE";54;22;54;55;-1;52;57;57
"0312738H";"Association pour la promotion de l'apprentissage de l'enseignement catholique et technique en Midi-Pyrénées";"OCCITANIE";28;14;55;59;-4;58;56;59
"0312755B";"CFA MIDISUP";"OCCITANIE";17;;;;;;;
"0312859P";"CENTRE DE FORMATIONS APPRENTIS FORMAPOSTE";"OCCITANIE";26;11;61;67;-6;62;71;74
"0312912X";"Centre de formation d'apprentis de l'académie de Toulouse";"OCCITANIE";27;27;70;67;3;74;73;76
"0320542R";"Centre de formation d'apprentis Chambre des métiers du Gers";"OCCITANIE";40;44;65;65;0;69;71;76
"0320677M";"Centre de formation d'Apprentis Agricole du Gers";"OCCITANIE";32;22;46;58;-12;58;58;58
"0331707B";"Centre de formation d'apprentis - Institut des Métiers de l'Artisanat";"NOUVELLE-AQUITAINE";33;32;62;59;3;68;69;72
"0331708C";"Centre de formation d'apprentis du district sud bassin";"NOUVELLE-AQUITAINE";40;33;55;55;0;66;67;75
"0331712G";"Centre de formation d'apprentis Hygie Formations Pharmacie d'Aquitaine";"NOUVELLE-AQUITAINE";20;7;72;70;1;72;73;74
"0331715K";"Centre de formation d'apprentis du lycée Gustave Eiffel";"NOUVELLE-AQUITAINE";28;28;64;63;1;69;75;77
"0332197J";"Centre de formation d'apprentis du bâtiment et des travaux publics de la Gironde";"NOUVELLE-AQUITAINE";28;39;61;64;-3;67;65;69
"0332279Y";"Centre de formation d'apprentis  Le Vigean";"NOUVELLE-AQUITAINE";25;16;60;67;-7;66;64;64
"0332551U";"Centre de formation d'apprentis du transport et de la logistique Aquitaine (AFTRAL)";"NOUVELLE-AQUITAINE";23;23;66;69;-3;71;72;76
"0332709R";"centre formation apprentis agricole de la gironde";"NOUVELLE-AQUITAINE";35;29;52;53;-1;60;62;68
"0332813D";"centre de formation d'apprentis campus du lac bordeaux";"NOUVELLE-AQUITAINE";44;25;58;57;1;64;63;71
"0332814E";"Centre de Formation d'apprentis de l'industrie (C.F.A.I) de Bruges";"NOUVELLE-AQUITAINE";16;34;69;67;2;75;78;78
"0332882D";"Centre de formation d'apprentis compagnons du devoir de Bordeaux";"NOUVELLE-AQUITAINE";33;33;71;62;9;74;77;75
"0332981L";"centre formation apprentis agricole";"NOUVELLE-AQUITAINE";38;26;50;53;-3;59;54;62
