FAMILLE_METIER;MEF;DATE_OUVERTURE;DATE_FERMETURE;DATE_INTERVENTION;N_COMMENTAIRE;tag
012;2452230211;01/09/1999;;21/05/2024;;
012;2462230222;01/09/1999;;21/05/2024;;
012;2472230231;01/09/1999;;21/05/2024;;
012;2472501331;01/09/2021;;21/05/2024;;
012;2472501431;01/09/2021;;21/05/2024;;
010;2472210631;01/09/2011;;21/05/2024;;
010;2473340331;01/09/2011;;21/05/2024;;
008;2452300411;01/09/2008;;21/05/2024;;
008;2462300421;01/09/2008;;21/05/2024;;
008;2462300422;01/09/2008;;21/05/2024;;
008;2472300431;01/09/2008;;21/05/2024;;
008;2452300511;01/09/2008;;21/05/2024;;
008;2462300521;01/09/2008;;21/05/2024;;
008;2462300522;01/09/2008;;21/05/2024;;
008;2472300531;01/09/2008;;21/05/2024;;
008;2462310321;01/09/2007;31/08/2026;31/05/2024;;
008;2462310322;01/09/2007;31/08/2026;31/05/2024;;
008;2452310311;01/09/2007;31/08/2026;31/05/2024;;
008;2472310331;01/09/2007;31/08/2026;31/05/2024;;
005;2473220631;01/09/2011;;21/05/2024;;
005;2473220731;01/09/2014;;21/05/2024;octobre 2014 : renseignement colonne CITE_DOMAINE_FORMATION;
005;2473220831;01/09/2014;;21/05/2024;octobre 2014 : renseignement colonne CITE_DOMAINE_FORMATION;
015;2472010231;01/09/2012;;21/05/2024;octobre 2014 : renseignement colonne CITE_DOMAINE_FORMATION;
015;2472200431;01/09/2012;;21/05/2024;01/10/2014 : complément de cite_domaine_formation;
015;2452340611;01/09/2006;;21/05/2024;;
015;2462340621;01/09/2006;;21/05/2024;;
015;2462340622;01/09/2006;;21/05/2024;;
015;2472340631;01/09/2006;;21/05/2024;;
015;2472501231;01/09/2021;;21/05/2024;;
003;2473121331;01/09/2019;;21/05/2024;;
003;2473121431;01/09/2019;;21/05/2024;;
003;2473121231;01/09/2019;;21/05/2024;;
002;2473000431;01/09/2020;;21/05/2024;;
002;2473110631;01/09/2010;;21/05/2024;;
002;2473111431;01/09/2020;;21/05/2024;;
014;2472551031;01/09/2016;31/08/2025;31/05/2024;;
014;2472551933;01/09/2023;;21/05/2024;;
014;2472551931;01/09/2023;;21/05/2024;;
014;2472270731;01/09/2021;;21/05/2024;;
014;2472270631;01/09/2021;;21/05/2024;;
014;2472551731;01/09/2021;;21/05/2024;;
